sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,16,1,7,30,CNOT,79.605,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,7,30,CNOT,76.023,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,8,30,CNOT,692.787,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,8,30,CNOT,191.643,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,8,30,CNOT,79.3339,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,8,30,CNOT,76.0984,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,9,30,CNOT,720.563,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,9,30,CNOT,191.665,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,9,30,CNOT,79.6021,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,9,30,CNOT,76.0762,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,10,30,CNOT,693.107,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,10,30,CNOT,191.747,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,10,30,CNOT,79.6504,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,10,30,CNOT,76.0715,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,11,30,CNOT,693.473,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,11,30,CNOT,199.743,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,11,30,CNOT,79.3545,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,11,30,CNOT,76.075,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,12,30,CNOT,705.418,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,12,30,CNOT,188.244,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,12,30,CNOT,79.5427,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,12,30,CNOT,76.0945,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,13,30,CNOT,726.704,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,13,30,CNOT,200.827,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,13,30,CNOT,87.2435,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,13,30,CNOT,82.4734,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,14,30,CNOT,736.922,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,14,30,CNOT,197.921,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,14,30,CNOT,87.4516,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,14,30,CNOT,82.2705,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,15,30,CNOT,739.27,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,15,30,CNOT,201.49,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,15,30,CNOT,87.4436,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,15,30,CNOT,82.4453,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,16,30,CNOT,717.078,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,16,30,CNOT,185.749,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,16,30,CNOT,77.4874,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,16,30,CNOT,74.14,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,17,30,CNOT,736.485,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,17,30,CNOT,200.187,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,17,30,CNOT,86.8005,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,17,30,CNOT,81.5052,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,18,30,CNOT,707.154,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,18,30,CNOT,192.168,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,18,30,CNOT,79.8952,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,18,30,CNOT,77.5222,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,19,30,CNOT,727.468,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,19,30,CNOT,193.699,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,19,30,CNOT,77.7989,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,19,30,CNOT,75.841,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,20,30,CNOT,735.298,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,20,30,CNOT,195.708,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,20,30,CNOT,78.8256,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,20,30,CNOT,76.9236,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,21,30,CNOT,739.768,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,21,30,CNOT,197.643,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,21,30,CNOT,79.6204,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,21,30,CNOT,76.7156,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,22,30,CNOT,820.913,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,22,30,CNOT,218.421,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,22,30,CNOT,83.8194,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,22,30,CNOT,76.0919,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,23,30,CNOT,871.238,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,23,30,CNOT,215.842,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,23,30,CNOT,83.997,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,23,30,CNOT,75.6064,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,24,30,CNOT,826.401,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,24,30,CNOT,222.803,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,24,30,CNOT,82.3143,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,24,30,CNOT,74.5953,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,25,30,CNOT,842.437,1/1000,AVX512
